3525.6474	90.09	98	0.23
5809.419	45.54	3	0.59
1038.8961	1.98	87	0.97
251.9748	75.24	11	0.0
8553.1446	33.66	67	0.34
2754.7245	78.21	49	0.42
6985.3014	17.82	26	0.72
3905.6094	20.79	60	0.75
3796.6203	3.96	66	0.92
7491.2508	0.0	12	0.68
5233.4766	18.81	93	0.09
4837.5162	54.45	70	0.12
7288.2711	32.67	60	0.59
1414.8585	48.51	52	0.74
2544.7455	19.8	32	0.8
3695.6304	66.33	59	0.67
5128.4871	58.41	36	0.84
8781.1218	97.02	8	0.41
2478.7521	77.22	89	0.25
4999.5	3.96	4	0.25
3970.6029	8.91	38	0.53
5247.4752	55.44	34	0.02
776.9223	86.13	29	0.87
7951.2048	81.18	41	0.95
9798.0201	65.34	68	0.64
1058.8941	78.21	8	0.79
430.9569	38.61	52	0.92
4003.5996	65.34	69	0.28
1518.8481	51.48	23	0.95
808.9191	71.28	7	0.94
2743.7256	85.14	81	0.67
6218.3781	7.92	59	0.02
2840.7159	42.57	81	0.62
3556.6443	17.82	90	0.74
5487.4512	40.59	72	0.75
2947.7052	42.57	88	0.89
7499.25	13.86	60	0.28
5159.484	56.43	2	0.08
9552.0447	52.47	56	0.99
5716.4283	95.04	79	0.25
1500.8499	29.7	68	0.22
3519.648	59.4	29	0.15
1854.8145	14.85	67	0.93
884.9115	52.47	83	0.89
9708.0291	0.99	29	0.38
4792.5207	78.21	64	0.98
849.915	13.86	73	0.77
2224.7775	55.44	50	0.67
3641.6358	68.31	41	0.88
6631.3368	65.34	59	0.57
270.9729	82.17	55	0.56
4247.5752	30.69	75	0.34
7701.2298	0.99	39	0.96
8054.1945	85.14	38	0.89
8988.1011	80.19	65	0.27
3688.6311	61.38	97	0.28
2393.7606	40.59	92	0.53
116.9883	52.47	35	0.4
4150.5849	70.29	12	0.46
8011.1988	90.09	73	0.0
5011.4988	43.56	20	0.3
1937.8062	74.25	33	0.96
5179.482	44.55	61	0.31
2702.7297	23.76	36	0.7
8502.1497	51.48	60	0.58
9981.0018	32.67	73	0.25
8520.1479	51.48	41	0.11
4421.5578	90.09	11	0.72
3914.6085	92.07	67	0.06
1117.8882	88.11	16	0.52
5419.458	71.28	23	0.2
4102.5897	10.89	98	0.66
3145.6854	15.84	94	0.65
7577.2422	57.42	81	0.12
6810.3189	47.52	92	0.11
9098.0901	25.74	49	0.91
6662.3337	73.26	2	0.14
5585.4414	24.75	68	0.87
4135.5864	25.74	81	0.45
4755.5244	24.75	24	0.82
2139.786	77.22	26	0.01
4814.5185	10.89	74	0.46
6062.3937	85.14	17	0.55
1737.8262	57.42	69	0.2
3422.6577	96.03	61	0.46
5128.4871	26.73	92	0.36
4391.5608	84.15	97	0.58
4836.5163	27.72	63	0.83
5145.4854	47.52	78	0.09
1970.8029	47.52	42	0.29
7169.283	83.16	62	0.01
9178.0821	88.11	36	0.81
4643.5356	97.02	13	0.43
3093.6906	22.77	47	0.66
5953.4046	27.72	73	0.72
5050.4949	8.91	76	0.81
4192.5807	68.31	0	0.19
3289.671	17.82	53	0.62
1481.8518	18.81	79	0.77
3057.6942	11.88	55	0.55
1156.8843	62.37	34	0.36
3203.6796	57.42	73	0.67
7584.2415	25.74	18	0.71
3933.6066	34.65	80	0.95
5868.4131	70.29	91	0.26
698.9301	7.92	19	0.42
6813.3186	69.3	35	0.43
8802.1197	1.98	42	0.13
5436.4563	94.05	16	0.79
2151.7848	86.13	55	0.77
5893.4106	38.61	15	0.33
6905.3094	43.56	57	0.35
473.9526	19.8	50	0.65
943.9056	54.45	64	0.14
8551.1448	88.11	23	0.12
7199.28	8.91	33	0.24
4721.5278	17.82	85	0.26
299.97	10.89	7	0.03
8956.1043	56.43	85	0.01
4168.5831	32.67	64	0.32
5154.4845	29.7	16	0.89
8937.1062	56.43	19	0.33
9486.0513	84.15	97	0.05
1955.8044	80.19	64	0.98
3011.6988	45.54	90	0.07
5857.4142	66.33	83	0.22
3034.6965	87.12	16	0.22
9491.0508	77.22	68	0.97
9950.0049	1.98	65	0.43
2609.739	94.05	42	0.41
5223.4776	52.47	71	0.62
8452.1547	23.76	6	0.81
5312.4687	41.58	1	0.73
2451.7548	86.13	39	0.56
4308.5691	45.54	49	0.64
2942.7057	81.18	34	0.69
6000.3999	8.91	53	0.47
8808.1191	6.93	64	0.64
3352.6647	70.29	68	0.57
8992.1007	79.2	58	0.58
7878.2121	89.1	63	0.39
5641.4358	1.98	2	0.88
4906.5093	83.16	82	0.48
2174.7825	15.84	69	0.37
